product_uid,product_title,product_description,image_url
G4YCXVVAY4,Luxury Red Lipstick,Beautiful red lipstick with long lasting color.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=300&q=80
1Q41XDYJB8,Anti-Aging Cream,Anti-aging face cream with vitamin E.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=300&q=80
C4HPU1TANT,Pro Hair Dryer,Hair dryer with multiple heat settings.,https://images.unsplash.com/photo-1522338140262-f46f5913618a?w=300&q=80
GW6SW52Z57,Organic Shampoo,Organic shampoo for dry hair.,https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d?w=300&q=80
UC24A9YM8K,Waterproof Eyeliner,Waterproof eyeliner black.,https://images.unsplash.com/photo-1629198688000-71f23e745b6e?w=300&q=80
OXVIK3RXSA,Matte Foundation,Matte finish foundation for oily skin.,https://images.unsplash.com/photo-1631729371254-42c2892f0e6e?w=300&q=80
RJV545WV1T,Electric Shaver,Electric shaver for men.,https://images.unsplash.com/photo-1621607512214-68297480165e?w=300&q=80
29XVV1EK7O,Floral Perfume,Perfume with floral scent.,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&q=80
DEZL9UWCLT,Nail Polish Remover,Nail polish remover acetone free.,https://images.unsplash.com/photo-1632515902636-22a49889ab8a?w=300&q=80
A5TZOZCFBQ,Sunscreen SPF 50,Sunscreen SPF 50 for sensitive skin.,https://images.unsplash.com/photo-1556228720-19779b2a1970?w=300&q=80
EZ1GCEZJ3F,Aloe Vera Lotion,Moisturizing body lotion with aloe vera.,https://images.unsplash.com/photo-1608248597279-f99d160bfbc8?w=300&q=80
SDENI1V8AD,Exfoliating Scrub,Exfoliating face scrub.,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=300&q=80
JTEEF8EQD9,Volumizing Mascara,Volumizing mascara.,https://images.unsplash.com/photo-1631214503851-a596848faf18?w=300&q=80
LIRWN9J37D,Shea Butter Lip Balm,Lip balm with shea butter.,https://images.unsplash.com/photo-1629198727546-f9a460896404?w=300&q=80
6NWWJEIGNM,Ceramic Straightener,Hair straightener ceramic plates.,https://images.unsplash.com/photo-1561389886-f4040a45c227?w=300&q=80
ADQQSRRNAD,Grooming Beard Oil,Beard oil for grooming.,https://images.unsplash.com/photo-1621607512022-6aecc4fed814?w=300&q=80
T73G1IENAM,Pro Brush Set,Makeup brush set professional.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=300&q=80
2D4R0N6AAE,Vitamin C Serum,Vitamin C serum for face.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=300&q=80
AOX399VCY8,Charcoal Mask,Charcoal face mask.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=300&q=80
SU93N2QB3E,Hand Cream,Hand cream for dry hands.,https://images.unsplash.com/photo-1608248597279-f99d160bfbc8?w=300&q=80
IKBXD9CDAU,Foot Cream,Foot cream for cracked heels.,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=300&q=80
JWSF88VL6G,Lavender Bath Salts,Bath salts with lavender.,https://images.unsplash.com/photo-1611080626919-7cf5a9dbab5b?w=300&q=80
77VU0QZEFG,Scented Candles,Scented candles for relaxation.,https://images.unsplash.com/photo-1602826347632-fc48a78f853e?w=300&q=80
6QPLQTKCEA,Aroma Diffuser,Essential oil diffuser.,https://images.unsplash.com/photo-1602143407151-011141950038?w=300&q=80
170CI7PYFA,Yoga Mat,Yoga mat non-slip.,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=300&q=80
B1FFGN7MN6,Dumbbells Set,Dumbbells set for home workout.,https://images.unsplash.com/photo-1638536532686-d610adfc8e5c?w=300&q=80
BKT34E4UMQ,Running Shoes,Running shoes for men.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=300&q=80
BEXN6VEN3H,Sports Bra,Sports bra high impact.,https://images.unsplash.com/photo-1571945153237-4929e783af4a?w=300&q=80
D8VQLBDJ8U,Steel Water Bottle,Water bottle stainless steel.,https://images.unsplash.com/photo-1602143407151-011141950038?w=300&q=80
8NKIQSGE37,Whey Protein,Protein powder chocolate flavor.,https://images.unsplash.com/photo-1579722821273-0f6c7d44362f?w=300&q=80
